link_team,club_team,link_lega,nome_lega
/it/team/165/f%C3%BCrth/,Fürth,/it/teams/?league=20,Bundesliga 2
/it/team/111993/cittadella/,Cittadella,/it/teams/?league=32,Calcio B
/it/team/101121/necaxa/,Necaxa,/it/teams/?league=341,LIGA Bancomer MX
/it/team/10019/cd-feirense/,CD Feirense,/it/teams/?league=308,Liga NOS
/it/team/256/fk-austria-wien/,FK Austria Wien,/it/teams/?league=80,Ö. Bundesliga
/it/team/77/aberdeen/,Aberdeen,/it/teams/?league=50,Scottish Prem
/it/team/111022/belgrano/,Belgrano,/it/teams/?league=353,SAF
/it/team/110741/la-spezia/,La Spezia,/it/teams/?league=32,Calcio B
/it/team/506/erzgebirge-aue/,Erzgebirge Aue,/it/teams/?league=20,Bundesliga 2
/it/team/110588/magdeburgo/,Magdeburgo,/it/teams/?league=20,Bundesliga 2
/it/team/94/ipswich-town/,Ipswich Town,/it/teams/?league=14,EFL Championship
/it/team/4/bolton/,Bolton,/it/teams/?league=14,EFL Championship
/it/team/110581/patronato/,Patronato,/it/teams/?league=353,SAF
/it/team/110770/fc-sion/,FC Sion,/it/teams/?league=189,RSL
/it/team/111059/cear%C3%A1-sc/,Ceará SC,/it/teams/?league=7,Liga do Brasil
/it/team/101106/once-caldas/,Once Caldas,/it/teams/?league=336,Liga Dimayor
/it/team/112162/jiangsu-suning/,Jiangsu Suning,/it/teams/?league=2012,CSL
/it/team/110745/jagiellonia/,Jagiellonia,/it/teams/?league=66,Ekstraklasa
/it/team/112978/hebei-cffc/,Hebei CFFC,/it/teams/?league=2012,CSL
/it/team/112523/la-equidad/,La Equidad,/it/teams/?league=336,Liga Dimayor
/it/team/80/hearts/,Hearts,/it/teams/?league=50,Scottish Prem
/it/team/708/hammarby-if/,Hammarby IF,/it/teams/?league=56,Allsvenskan
/it/team/111399/perth-glory/,Perth Glory,/it/teams/?league=351,Hyundai A-League
/it/team/101150/fc-tokyo/,FC Tokyo,/it/teams/?league=349,Meiji Yasuda J1
/it/team/614/ac-ajaccio/,AC Ajaccio,/it/teams/?league=17,Domino's Ligue 2
/it/team/81/hibernian/,Hibernian,/it/teams/?league=50,Scottish Prem
/it/team/112535/uni%C3%B3n-la-calera/,Unión La Calera,/it/teams/?league=335,Camp. Scotiabank
/it/team/112584/everton-de-vi%C3%B1a/,Everton de Viña,/it/teams/?league=335,Camp. Scotiabank
/it/team/111400/sydney-fc/,Sydney FC,/it/teams/?league=351,Hyundai A-League
/it/team/111397/melbourne-vic/,Melbourne Vic.,/it/teams/?league=351,Hyundai A-League
/it/team/205/venezia/,Venezia,/it/teams/?league=32,Calcio B
/it/team/110456/valenciennes-fc/,Valenciennes FC,/it/teams/?league=17,Domino's Ligue 2
/it/team/702/ifk-norrk%C3%B6ping/,IFK Norrköping,/it/teams/?league=56,Allsvenskan
/it/team/1815/clermont-foot/,Clermont Foot,/it/teams/?league=17,Domino's Ligue 2
/it/team/1923/luton-town/,Luton Town,/it/teams/?league=60,EFL League One
/it/team/1738/le-havre-ac/,Le Havre AC,/it/teams/?league=17,Domino's Ligue 2
/it/team/112533/cd-antofagasta/,CD Antofagasta,/it/teams/?league=335,Camp. Scotiabank
/it/team/110913/waasl-beveren/,Waasl. Beveren,/it/teams/?league=4,Pro League
/it/team/101151/yokohama-f-m/,Yokohama F. M.,/it/teams/?league=349,Meiji Yasuda J1
/it/team/101148/cerezo-osaka/,Cerezo Osaka,/it/teams/?league=349,Meiji Yasuda J1
/it/team/711/bk-h%C3%A4cken/,BK Häcken,/it/teams/?league=56,Allsvenskan
